Province,CAT_B,WardNo,WardName,WIKIDATA,WardID,MapCode,MunicName,MS_FB_PARE,MS_FB
EC,BUF,11,Buffalo City Ward 11,Q57575440,29200011,BUF_11,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:11
EC,BUF,12,Buffalo City Ward 12,Q57575441,29200012,BUF_12,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:12
EC,BUF,13,Buffalo City Ward 13,Q57575442,29200013,BUF_13,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:13
EC,BUF,14,Buffalo City Ward 14,Q57575445,29200014,BUF_14,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:14
EC,BUF,15,Buffalo City Ward 15,Q57575446,29200015,BUF_15,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:15
EC,BUF,16,Buffalo City Ward 16,Q57575448,29200016,BUF_16,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:16
EC,BUF,17,Buffalo City Ward 17,Q57575450,29200017,BUF_17,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:17
EC,BUF,18,Buffalo City Ward 18,Q57575452,29200018,BUF_18,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:18
EC,BUF,19,Buffalo City Ward 19,Q57575453,29200019,BUF_19,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:19
EC,BUF,20,Buffalo City Ward 20,Q57575456,29200020,BUF_20,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:20
EC,BUF,21,Buffalo City Ward 21,Q57575458,29200021,BUF_21,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:21
EC,BUF,22,Buffalo City Ward 22,Q57575459,29200022,BUF_22,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:22
EC,BUF,23,Buffalo City Ward 23,Q57575460,29200023,BUF_23,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:23
EC,BUF,24,Buffalo City Ward 24,Q57575462,29200024,BUF_24,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:24
EC,BUF,25,Buffalo City Ward 25,Q57575464,29200025,BUF_25,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:25
EC,BUF,26,Buffalo City Ward 26,Q57575465,29200026,BUF_26,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:26
EC,BUF,27,Buffalo City Ward 27,Q57575467,29200027,BUF_27,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:27
EC,BUF,28,Buffalo City Ward 28,Q57575471,29200028,BUF_28,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:28
EC,BUF,29,Buffalo City Ward 29,Q57575473,29200029,BUF_29,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:29
EC,BUF,30,Buffalo City Ward 30,Q57575474,29200030,BUF_30,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:30
EC,BUF,31,Buffalo City Ward 31,Q57575476,29200031,BUF_31,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:31
EC,BUF,32,Buffalo City Ward 32,Q57575479,29200032,BUF_32,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:32
EC,BUF,33,Buffalo City Ward 33,Q57575480,29200033,BUF_33,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:33
EC,BUF,34,Buffalo City Ward 34,Q57575482,29200034,BUF_34,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:34
EC,BUF,35,Buffalo City Ward 35,Q57575484,29200035,BUF_35,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:35
EC,BUF,36,Buffalo City Ward 36,Q57575485,29200036,BUF_36,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:36
EC,BUF,37,Buffalo City Ward 37,Q57575487,29200037,BUF_37,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:37
EC,BUF,38,Buffalo City Ward 38,Q57575488,29200038,BUF_38,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:38
EC,BUF,39,Buffalo City Ward 39,Q57575490,29200039,BUF_39,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:39
EC,BUF,40,Buffalo City Ward 40,Q57575491,29200040,BUF_40,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:40
EC,BUF,41,Buffalo City Ward 41,Q57575493,29200041,BUF_41,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:41
EC,BUF,42,Buffalo City Ward 42,Q57575497,29200042,BUF_42,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:42
EC,BUF,43,Buffalo City Ward 43,Q57575498,29200043,BUF_43,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:43
EC,BUF,44,Buffalo City Ward 44,Q57575501,29200044,BUF_44,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:44
EC,BUF,45,Buffalo City Ward 45,Q57575502,29200045,BUF_45,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:45
EC,BUF,46,Buffalo City Ward 46,Q57575503,29200046,BUF_46,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:46
EC,BUF,47,Buffalo City Ward 47,Q57575506,29200047,BUF_47,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:47
EC,BUF,48,Buffalo City Ward 48,Q57575507,29200048,BUF_48,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:48
EC,BUF,49,Buffalo City Ward 49,Q57575509,29200049,BUF_49,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:49
EC,BUF,50,Buffalo City Ward 50,Q57575512,29200050,BUF_50,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:50
EC,NMA,1,Nelson Mandela Bay Ward 1,Q57575768,29300001,NMA_1,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:1
EC,NMA,2,Nelson Mandela Bay Ward 2,Q57575769,29300002,NMA_2,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:2
EC,NMA,3,Nelson Mandela Bay Ward 3,Q57575771,29300003,NMA_3,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:3
EC,NMA,4,Nelson Mandela Bay Ward 4,Q57575772,29300004,NMA_4,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:4
EC,NMA,5,Nelson Mandela Bay Ward 5,Q57575774,29300005,NMA_5,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:5
EC,NMA,6,Nelson Mandela Bay Ward 6,Q57575775,29300006,NMA_6,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:6
EC,NMA,7,Nelson Mandela Bay Ward 7,Q57575776,29300007,NMA_7,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:7
EC,NMA,8,Nelson Mandela Bay Ward 8,Q57575779,29300008,NMA_8,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:8
EC,NMA,9,Nelson Mandela Bay Ward 9,Q57575780,29300009,NMA_9,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:9
EC,NMA,10,Nelson Mandela Bay Ward 10,Q57575782,29300010,NMA_10,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:10
EC,NMA,11,Nelson Mandela Bay Ward 11,Q57575783,29300011,NMA_11,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:11
EC,NMA,12,Nelson Mandela Bay Ward 12,Q57575785,29300012,NMA_12,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:12
EC,NMA,13,Nelson Mandela Bay Ward 13,Q57575786,29300013,NMA_13,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:13
EC,NMA,14,Nelson Mandela Bay Ward 14,Q57575787,29300014,NMA_14,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:14
EC,NMA,15,Nelson Mandela Bay Ward 15,Q57575789,29300015,NMA_15,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:15
EC,NMA,16,Nelson Mandela Bay Ward 16,Q57575790,29300016,NMA_16,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:16
EC,NMA,17,Nelson Mandela Bay Ward 17,Q57575792,29300017,NMA_17,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:17
EC,NMA,18,Nelson Mandela Bay Ward 18,Q57575794,29300018,NMA_18,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:18
EC,NMA,19,Nelson Mandela Bay Ward 19,Q57575796,29300019,NMA_19,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:19
EC,NMA,20,Nelson Mandela Bay Ward 20,Q57575798,29300020,NMA_20,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:20
EC,NMA,21,Nelson Mandela Bay Ward 21,Q57575799,29300021,NMA_21,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:21
EC,NMA,22,Nelson Mandela Bay Ward 22,Q57575801,29300022,NMA_22,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:22
EC,NMA,23,Nelson Mandela Bay Ward 23,Q57575802,29300023,NMA_23,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:23
EC,NMA,24,Nelson Mandela Bay Ward 24,Q57575803,29300024,NMA_24,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:24
EC,NMA,25,Nelson Mandela Bay Ward 25,Q57575805,29300025,NMA_25,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:25
EC,NMA,26,Nelson Mandela Bay Ward 26,Q57575806,29300026,NMA_26,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:26
EC,NMA,27,Nelson Mandela Bay Ward 27,Q57575807,29300027,NMA_27,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:27
EC,NMA,28,Nelson Mandela Bay Ward 28,Q57575810,29300028,NMA_28,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:28
EC,NMA,29,Nelson Mandela Bay Ward 29,Q57575811,29300029,NMA_29,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:29
EC,NMA,30,Nelson Mandela Bay Ward 30,Q57575815,29300030,NMA_30,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:30
EC,NMA,31,Nelson Mandela Bay Ward 31,Q57575816,29300031,NMA_31,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:31
EC,NMA,32,Nelson Mandela Bay Ward 32,Q57575817,29300032,NMA_32,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:32
EC,NMA,33,Nelson Mandela Bay Ward 33,Q57575818,29300033,NMA_33,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:33
EC,NMA,34,Nelson Mandela Bay Ward 34,Q57575820,29300034,NMA_34,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:34
EC,NMA,35,Nelson Mandela Bay Ward 35,Q57575821,29300035,NMA_35,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:35
EC,NMA,36,Nelson Mandela Bay Ward 36,Q57575822,29300036,NMA_36,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:36
EC,NMA,37,Nelson Mandela Bay Ward 37,Q57575825,29300037,NMA_37,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:37
EC,NMA,38,Nelson Mandela Bay Ward 38,Q57575827,29300038,NMA_38,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:38
EC,NMA,39,Nelson Mandela Bay Ward 39,Q57575828,29300039,NMA_39,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:39
EC,NMA,40,Nelson Mandela Bay Ward 40,Q57575830,29300040,NMA_40,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:40
EC,NMA,41,Nelson Mandela Bay Ward 41,Q57575831,29300041,NMA_41,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:41
EC,NMA,42,Nelson Mandela Bay Ward 42,Q57575833,29300042,NMA_42,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:42
EC,NMA,43,Nelson Mandela Bay Ward 43,Q57575834,29300043,NMA_43,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:43
EC,NMA,44,Nelson Mandela Bay Ward 44,Q57575835,29300044,NMA_44,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:44
EC,NMA,45,Nelson Mandela Bay Ward 45,Q57575837,29300045,NMA_45,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:45
EC,NMA,46,Nelson Mandela Bay Ward 46,Q57575840,29300046,NMA_46,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:46
EC,NMA,47,Nelson Mandela Bay Ward 47,Q57575841,29300047,NMA_47,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:47
EC,NMA,48,Nelson Mandela Bay Ward 48,Q57575842,29300048,NMA_48,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:48
EC,NMA,49,Nelson Mandela Bay Ward 49,Q57575844,29300049,NMA_49,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:49
EC,NMA,50,Nelson Mandela Bay Ward 50,Q57575845,29300050,NMA_50,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:50
EC,NMA,51,Nelson Mandela Bay Ward 51,Q57575846,29300051,NMA_51,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:51
EC,NMA,52,Nelson Mandela Bay Ward 52,Q57575847,29300052,NMA_52,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:52
EC,NMA,53,Nelson Mandela Bay Ward 53,Q57575849,29300053,NMA_53,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:53
EC,NMA,54,Nelson Mandela Bay Ward 54,Q57575850,29300054,NMA_54,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:54
EC,NMA,55,Nelson Mandela Bay Ward 55,Q57575852,29300055,NMA_55,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:55
EC,NMA,56,Nelson Mandela Bay Ward 56,Q57575854,29300056,NMA_56,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:56
EC,NMA,57,Nelson Mandela Bay Ward 57,Q57575856,29300057,NMA_57,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:57
EC,NMA,58,Nelson Mandela Bay Ward 58,Q57575857,29300058,NMA_58,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:58
EC,NMA,59,Nelson Mandela Bay Ward 59,Q57575858,29300059,NMA_59,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:59
EC,NMA,60,Nelson Mandela Bay Ward 60,Q57575860,29300060,NMA_60,Nelson Mandela Bay,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-/ward:60
FS,FS184,1,Matjhabeng Ward 1,Q57575861,41804001,FS184_1,Matjhabeng,country:za/province:fs/local-municipality:matjhabeng,country:za/province:fs/local-municipality:matjhabeng/ward:1
FS,FS184,2,Matjhabeng Ward 2,Q57575863,41804002,FS184_2,Matjhabeng,country:za/province:fs/local-municipality:matjhabeng,country:za/province:fs/local-municipality:matjhabeng/ward:2
FS,FS184,4,Matjhabeng Ward 4,Q57575864,41804004,FS184_4,Matjhabeng,country:za/province:fs/local-municipality:matjhabeng,country:za/province:fs/local-municipality:matjhabeng/ward:4
FS,FS184,5,Matjhabeng Ward 5,Q57575865,41804005,FS184_5,Matjhabeng,country:za/province:fs/local-municipality:matjhabeng,country:za/province:fs/local-municipality:matjhabeng/ward:5
