Province,CAT_B,WardNo,WardName,WIKIDATA,WardID,MapCode,MunicName,MS_FB_PARE,MS_FB
EC,BUF,1,Buffalo City Ward 1,Q57573648,29200001,BUF_1,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:1
EC,BUF,2,Buffalo City Ward 2,Q57575425,29200002,BUF_2,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:2
EC,BUF,3,Buffalo City Ward 3,Q57575427,29200003,BUF_3,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:3
EC,BUF,4,Buffalo City Ward 4,Q57575428,29200004,BUF_4,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:4
EC,BUF,5,Buffalo City Ward 5,Q57575429,29200005,BUF_5,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:5
EC,BUF,6,Buffalo City Ward 6,Q57575431,29200006,BUF_6,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:6
EC,BUF,7,Buffalo City Ward 7,Q57575433,29200007,BUF_7,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:7
EC,BUF,8,Buffalo City Ward 8,Q57575434,29200008,BUF_8,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:8
EC,BUF,9,Buffalo City Ward 9,Q57575435,29200009,BUF_9,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:9
EC,BUF,10,Buffalo City Ward 10,Q57575437,29200010,BUF_10,Buffalo City,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city/ward:10
